,0
loan_amnt,12000.0
term,36.0
int_rate,12.74
installment,375.07
sub_grade,11.0
emp_length,6.0
annual_inc,65000.0
verification_status,1.0
dti,17.61
delinq_2yrs,0.0
fico_range_low,690.0
inq_last_6mths,0.0
open_acc,11.0
pub_rec,0.0
revol_bal,11130.0
revol_util,52.2
total_acc,23.0
collections_12_mths_ex_med,0.0
acc_now_delinq,0.0
tot_coll_amt,0.0
tot_cur_bal,80231.0
total_rev_hi_lim,24100.0
acc_open_past_24mths,4.0
avg_cur_bal,7407.0
bc_open_to_buy,4700.0
bc_util,63.2
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
mo_sin_old_il_acct,129.0
mo_sin_old_rev_tl_op,164.0
mo_sin_rcnt_rev_tl_op,8.0
mo_sin_rcnt_tl,5.0
mort_acc,1.0
mths_since_recent_bc,13.0
mths_since_recent_inq,5.0
num_accts_ever_120_pd,0.0
num_actv_bc_tl,3.0
num_actv_rev_tl,5.0
num_bc_sats,4.0
num_bc_tl,7.0
num_il_tl,7.0
num_op_rev_tl,7.0
num_rev_accts,13.0
num_rev_tl_bal_gt_0,5.0
num_sats,11.0
num_tl_120dpd_2m,0.0
num_tl_30dpd,0.0
num_tl_90g_dpd_24m,0.0
num_tl_op_past_12m,2.0
pct_tl_nvr_dlq,98.0
percent_bc_gt_75,42.9
pub_rec_bankruptcies,0.0
tax_liens,0.0
tot_hi_cred_lim,112373.0
total_bal_ex_mort,37295.0
total_bc_limit,15100.0
total_il_high_credit_limit,31681.0
credit_history_months,176.9710906701708
home_ownership_MORTGAGE,0.0
home_ownership_NONE,0.0
home_ownership_OTHER,0.0
home_ownership_OWN,0.0
home_ownership_RENT,0.0
purpose_credit_card,0.0
purpose_debt_consolidation,1.0
purpose_educational,0.0
purpose_home_improvement,0.0
purpose_house,0.0
purpose_major_purchase,0.0
purpose_medical,0.0
purpose_moving,0.0
purpose_other,0.0
purpose_renewable_energy,0.0
purpose_small_business,0.0
purpose_vacation,0.0
purpose_wedding,0.0
application_type_Joint App,0.0
